no,code,Barcode,category,item_name,cost_price_qty,purchase_price,Selling_price,qty,stock,dis_limit
3840,3071,3071,Party items,Balloon 3071,5.00 - 10.00 - 0.000,5.00 , 10.00 , 0.000,0,10
2236,3072,3072,Jewlery,Chain 3072,250.00 - 595.00 - 3.000,250.00 , 595.00 , 3.000,3,400
2237,3073,3073,Jewlery,Saree Avadi 3073,150.00 - 395.00 - 5.000,150.00 , 395.00 , 5.000,5,300
2238,3074,3074,Jewlery,Perl Chain 3074,60.00 - 165.00 - 7.000,60.00 , 165.00 , 7.000,7,120
2239,3075,3075,Jewlery,Perl Chain 3075,75.00 - 165.00 - 32.000,75.00 , 165.00 , 32.000,32,125
3063,3076,3076,Baby Items,Apple Safty Pin,75.00 - 165.00 - 11.000,75.00 , 165.00 , 11.000,11,120
2240,3077,3077,Jewlery,Shanthi Kukum Bindi,10.00 - 20.00 - 75.000,10.00 , 20.00 , 75.000,75,20
2241,3078,3078,Jewlery,Sajani Kukum Bindi,20.00 - 50.00 - 31.000,20.00 , 50.00 , 31.000,31,40
2242,3079,3079,Jewlery,Shruthi Kukum Bindi,30.00 - 60.00 - 35.000,30.00 , 60.00 , 35.000,35,50
3841,3080,3080,Party items,Birthday crap pati 3080,16.00 - 30.00 - 0.000,16.00 , 30.00 , 0.000,0,30
3843,3084,3084,Party items,BirthDay Hat 3084,150.00 - 365.00 - 6.000,150.00 , 365.00 , 6.000,6,250
3844,3085,3085,Party items,Birthday Hat 3085,70.00 - 185.00 - 1.000,70.00 , 185.00 , 1.000,1,120
